"breaks" "density"
"1" 1 0.091743119266055
"2" 1.1 0.137614678899083
"3" 1.2 0.321100917431192
"4" 1.3 0.0458715596330276
"5" 1.4 0.18348623853211
"6" 1.5 0.321100917431192
"7" 1.6 0.229357798165137
"8" 1.7 0.504587155963303
"9" 1.8 0.458715596330276
"10" 1.9 0.55045871559633
"11" 2 0.825688073394495
"12" 2.1 0.458715596330275
"13" 2.2 0.59633027522936
"14" 2.3 0.366972477064218
"15" 2.4 0.550458715596332
"16" 2.5 0.504587155963302
"17" 2.6 0.825688073394495
"18" 2.7 0.871559633027526
"19" 2.8 1.05504587155963
"20" 2.9 1.10091743119266
"21" 3 0
